seq_name	tax_name	percent
03450c9aaaa8518e89bba06147cae33f	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	100.0
0346276e5a2aedca5b3effcc917ceaa7	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcoides;Ruminococcoides bili	98.394
034cdf5a3933440815b2410632527e59	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	98.4
03510130bd30823bb3cb817b86b5f573	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia faecis	100.0
035236c36ba58f1d541d60ea2a54f801	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	96.8
035810cd2d3daadeef3416626c71ba7e	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	100.0
035ac11cc4cd8f965477378bf7105d78	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia intestinalis	98.79
036587c3803b9dca7437daeb9ad373e2	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Jannaschia;Jannaschia seohaensis	87.251
036a82e23c3838a6485f4a32122af2d4	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus bovis	97.951
037f99c8f9d4f502475a45e26df746be	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae	98.374
038dc561796be5d8d000c5989c920900	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Massiliprevotella;Massiliprevotella massiliensis	99.2
03ae0a13d15e3681fffd74285334a729	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phocaeense	99.597
03ae7a57a622ca9fd7b23116d075209d	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella brevis	91.304
03bba6313ceddba47ff9a2fbe2910efd	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium saudiense	100.0
03c37b6123c0595b837909e80bbfca05	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium chartatabidum	98.79
